study_word,test,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
,_ia_n,piano,[0.059895833333333336],[-0.3072916666666667],[1],[0],[0],[5.492922461475246],['text_3'],371595,1,2022-10-14_11h45.59.460,word primig,2022.2.2,59.78769868
,t_g_r,tiger,[0.07421875],[-0.3033854166666667],[1],[0],[0],[3.441866558743641],['text_3'],371595,1,2022-10-14_11h45.59.460,word primig,2022.2.2,59.78769868
,_ea_o_,"peacock
",[],[],[],[],[],[],[],371595,1,2022-10-14_11h45.59.460,word primig,2022.2.2,59.78769868
,c_m_r_,camera,[-0.020833333333333332],[-0.2916666666666667],[1],[0],[0],[5.048110840143636],['text_3'],371595,1,2022-10-14_11h45.59.460,word primig,2022.2.2,59.78769868
,_a_e,vase,"[0.16927083333333334, 0.0703125]","[-0.296875, -0.3151041666666667]","[1, 1]","[0, 0]","[0, 0]","[4.111575188930146, 4.847498523071408]",['text_3'],371595,1,2022-10-14_11h45.59.460,word primig,2022.2.2,59.78769868
,c_sh_on,cushion,[0.005208333333333333],[-0.2955729166666667],[1],[0],[0],[4.395350508042611],['text_3'],371595,1,2022-10-14_11h45.59.460,word primig,2022.2.2,59.78769868
,_p_a_d,,[],[],[],[],[],[],[],371595,1,2022-10-14_11h45.59.460,word primig,2022.2.2,59.78769868
,_o_s_,,[],[],[],[],[],[],[],371595,1,2022-10-14_11h45.59.460,word primig,2022.2.2,59.78769868
,_oo_,book,[0.09895833333333333],[-0.2838541666666667],[1],[0],[0],[4.446593571454287],['text_3'],371595,1,2022-10-14_11h45.59.460,word primig,2022.2.2,59.78769868
,o_a_n_e,orange,[-0.059895833333333336],[-0.30078125],[1],[0],[0],[4.947472773375921],['text_3'],371595,1,2022-10-14_11h45.59.460,word primig,2022.2.2,59.78769868
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,prop hit from study list,5,0.5,,,,,,,,,,
,,,prop hit for non-primed words,2,0.2,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,prime score,,0.3,,,,,,,,,,
