key_resp.keys,key_resp.corr,tilt,,hit,miss,fa,cr,,,,
up,1,0,,1,,,,,,,
up,1,0,,1,,,,,,,
up,1,0,,1,,,,,,,
up,0,-3,,,,1,,,,,
up,1,0,,1,,,,,,,
down,1,-1,,,,,1,,,,
down,1,-3,,,,,1,,,,
up,0,0,,1,,,,,,,
down,1,2,,,,,1,,,,
down,1,0,,,1,,,,,,
up,1,0,,1,,,,,,,
down,1,0,,,1,,,,,,
down,1,-5,,,,,1,,,,
up,1,0,,1,,,,,,,
up,1,0,,1,,,,,,,
down,1,-5,,,,,1,,,,
up,1,0,,1,,,,,,,
down,1,-4,,,,,1,,,,
up,1,0,,1,,,,,,,
up,1,0,,1,,,,,,,
down,1,-4,,,,,1,,,,
down,0,0,,,1,,,,,,
down,1,0,,,1,,,,,,
up,1,0,,1,,,,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
up,0,-3,,,,1,,,,,
down,1,-2,,,,,1,,,,
up,0,-3,,,,1,,,,,
down,0,0,,,1,,,,,,
down,1,3,,,,,1,,,,
down,1,-1,,,,,1,,,,
down,1,-3,,,,,1,,,,
up,0,1,,,,1,,,,,
up,1,0,,1,,,,,,,
down,0,0,,,1,,,,,,
down,0,0,,,1,,,,,,
down,1,-2,,,,,1,,,,
down,1,-3,,,,,1,,,,
down,1,-3,,,,,1,,,,
down,1,2,,,,,1,,,,
up,0,-3,,,,1,,,,,
up,1,0,,1,,,,,,,
down,0,0,,,1,,,,,,
up,0,-3,,,,1,,,,,
up,0,-4,,,,1,,,,,
down,1,-4,,,,,1,,,,
down,1,-3,,,,,1,,,,
down,1,4,,,,,1,,,,
up,0,-3,,,,1,,,,,
up,0,-2,,,,1,,,,,
down,0,0,,,1,,,,,,
up,0,-3,,,,1,,,,,
down,0,0,,,1,,,,,,
down,1,-1,,,,,1,,,,
down,1,3,,,,,1,,,,
up,1,0,,1,,,,,,,
down,1,-5,,,,,1,,,,
down,1,-3,,,,,1,,,,
up,1,0,,1,,,,,,,
down,1,-1,,,,,1,,,,
up,1,0,,1,,,,,,,
up,1,0,,1,,,,,,,
up,0,0,,1,,,,,,,
up,0,0,,1,,,,,,,
down,1,3,,,,,1,,,,
up,1,0,,1,,,,,,,
up,1,0,,1,,,,,,,
down,1,-5,,,,,1,,,,
down,1,-2,,,,,1,,,,
up,1,0,,1,,,,,,,
up,0,1,,,,1,,,,,
up,1,0,,1,,,,,,,
up,1,0,,1,,,,,,,
up,1,0,,1,,,,,,,
down,1,-2,,,,,1,,,,
down,1,-2,,,,,1,,,,
up,1,0,,1,,,,,,,
up,1,0,,1,,,,,,,
up,0,-1,,,,1,,,,,
up,0,0,,1,,,,,,,
down,1,-3,,,,,1,,,,
up,1,0,,1,,,,,,,
up,0,-1,,,,1,,,,prop hit=hit/hit+miss,0.72
up,1,0,,1,,,,,,prop fa= fa/fa+cr,0.26
up,1,0,,1,,,,,,,
up,1,0,,1,,,,,,d prime= z (prop hit) -z(prop fa),1.226186913
down,1,2,,,,,1,,,c= -z(prop hit) + z(prop fa)/2,0.030251949
down,0,0,,,1,,,,,,
down,1,4,,,,,1,,,Respond YES,Respond NO
down,0,0,,,1,,,,,hit,miss
down,1,3,,,,,1,,,false alarm,correct rejection
down,1,3,,,,,1,,,,
up,1,0,,1,,,,,,Respond YES,Respond NO
up,1,0,,1,,,,,,36,14
down,1,-4,,,,,1,,,13,37
down,1,-4,,,,,1,,,,
down,1,-1,,,,,1,,,,
down,1,-1,,,,,1,,,,
up,0,0,,1,,,,,,,
,,,,36,14,13,37,,,,
